ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME,CONTINEN_1,REGION_1,prec_2000,prec_2005,prec_2020,prec_2007,prec_2019,prec_2010,prec_2002,prec_2017,prec_2004,prec_2001,prec_2022,prec_2008,prec_2021,prec_2014,prec_2018,prec_2013,prec_2016,prec_2024,prec_2023,prec_2006,prec_2012,prec_2009,prec_2003,prec_2011,prec_2015
12920.0,Kabia,50.0,Chad,Africa,Central Africa,875.9573583743843,914.1104525862069,1007.5492610837439,701.8947044334975,1017.6306958128079,943.6687192118227,787.43773091133,866.2352986453202,918.0789716748768,1007.423645320197,1218.2545412561576,779.2087438423646,893.4635160098522,738.75,870.7019704433498,816.1103756157636,938.6605603448276,924.0669642857143,947.6595597290641,882.9831434729064,1070.692118226601,676.965902093596,851.4210283251232,920.4776016009852,942.6169950738916
16838.0,District autonome de Abidjan,66.0,Cote d'Ivoire,Africa,Western Africa,1604.7097537878788,1689.9262547348485,1901.665956439394,1552.3771306818182,1680.9751420454545,1900.2357954545455,1847.300662878788,1871.3055160984848,1665.449337121212,1801.1567234848485,1945.2134232954545,1724.9254261363637,1780.9359611742425,1836.9235321969697,1464.5512547348485,1268.428740530303,1345.7547348484848,1735.4770359848485,2292.2379261363635,1532.9249526515152,1605.6674952651515,1674.2883522727273,1662.668915719697,1797.1714015151515,1465.7329545454545
16839.0,District autonome de Yamoussoukro,66.0,Cote d'Ivoire,Africa,Western Africa,1052.5381567028985,1073.003170289855,1168.503170289855,978.0457427536232,1258.8608469202898,1404.6980298913043,1135.101902173913,1190.1723278985507,1156.099411231884,1062.6995018115942,1262.9413496376812,1253.0482336956522,1265.0323822463768,1361.8596014492753,1286.2207880434783,1147.5970335144928,1043.7849864130435,1080.1508152173913,1333.4859601449275,1121.1141304347825,1272.7698143115942,1001.7348278985507,1263.8582427536232,1092.050384963768,926.2279211956521
16840.0,Gesth-Djiboua,66.0,Cote d'Ivoire,Africa,Western Africa,1473.7299323017407,1513.71083172147,1663.9657882011606,1280.9185203094778,1561.3878143133463,1879.3734284332688,1389.3295454545455,1588.5036266924565,1652.619922630561,1563.588249516441,1534.8400628626694,1634.7200193423598,1758.0606866537717,1766.7630560928433,1576.953094777563,1396.15667311412,1396.9234767891683,1314.333655705996,1666.3295454545455,1443.169487427466,1431.5459381044489,1329.5631044487427,1758.4059477756286,1564.358921663443,1313.059840425532
16841.0,Lacs,66.0,Cote d'Ivoire,Africa,Western Africa,1009.705985915493,1019.3631161971831,1069.25,1069.071816314554,1232.0666079812206,1350.9724178403756,1111.8044307511736,1181.068515258216,1119.2347417840376,1122.3413292253522,1259.3403755868544,1233.911531690141,1311.850645539906,1217.9754988262912,1200.5857541079813,1048.7216842723005,1017.6629988262911,1075.0363849765258,1275.7724471830986,1118.5853873239437,1205.880721830986,1055.5737969483569,1225.0971244131456,1141.9807071596244,911.3023767605633
16842.0,Lagunes,66.0,Cote d'Ivoire,Africa,Western Africa,1367.38234186747,1517.4049322289156,1542.6905120481927,1403.2646837349398,1456.2311746987953,1772.7900978915663,1616.83546686747,1590.2703313253012,1555.3349021084337,1628.2014307228915,1686.9365587349398,1607.9309111445782,1669.7447289156626,1567.804405120482,1387.7398343373493,1229.7509412650602,1225.7085843373493,1357.1226468373493,1901.7021837349398,1417.2906626506024,1445.031155873494,1410.6936182228915,1616.8812123493976,1574.1827936746988,1287.8922251506024
16843.0,Montagnes,66.0,Cote d'Ivoire,Africa,Western Africa,1835.101101101101,1775.5251501501502,1672.1721721721722,1586.6436436436436,1812.4683433433433,2302.9854854854857,1572.1406406406406,1692.5545545545544,1765.0386636636636,1609.1785535535535,1647.5454204204204,1972.5392892892894,1847.8642392392392,1875.4481981981983,1890.1747997997998,1701.7987987987988,1768.0352852852852,1522.072822822823,1621.1316316316315,1669.0256506506507,1831.9201701701702,1578.8433433433433,1924.6293793793793,1797.1855605605606,1753.611986986987
16844.0,Sassandra-Marahoue,66.0,Cote d'Ivoire,Africa,Western Africa,1350.9701540436456,1243.2153401797175,1198.3015083440307,1169.5656290115533,1392.038350449294,1661.866976893453,1207.4149550706034,1182.1999358151477,1296.1935975609756,1143.246229139923,1295.6652759948652,1360.3252567394095,1368.0720474967907,1463.0046534017972,1441.3321566110399,1267.4591623876765,1193.939024390244,1124.7512836970475,1271.621229139923,1297.7387676508345,1420.0060975609756,1197.5604942233633,1403.0872913992298,1316.5858472400514,1143.0768613607188
16845.0,Woroba,66.0,Cote d'Ivoire,Africa,Western Africa,1322.838725490196,1356.229411764706,1223.0115196078432,1263.2259803921568,1294.5698529411766,1463.231862745098,1256.0287990196077,1190.1004901960785,1184.104411764706,1141.3639705882354,1294.6803921568628,1311.6497549019607,1226.4702205882354,1273.1095588235294,1411.0671568627452,1234.706862745098,1233.5026960784314,1208.4620098039215,1226.479656862745,1176.3933823529412,1388.5469362745098,1246.6303921568629,1425.0875,1266.4343137254903,1137.3230392156863
21969.0,East/Iburasirazuba,205.0,Rwanda,Africa,Eastern Africa,764.5909182847896,890.4822006472492,1170.0033373786407,1000.1744538834952,1033.39178802589,1040.6633292880258,959.9265776699029,897.9716828478964,1032.8592233009708,1081.2790250809062,995.0305420711974,844.8310578478964,1006.2100525889967,852.1258090614887,1206.1120550161813,994.1986245954693,908.1846682847896,932.8192758899677,989.1832524271845,1114.1974110032363,1187.6713187702264,954.4232402912621,820.3075950647249,1141.087783171521,861.7048948220065
